,Date,Signal,Open,High,Low,Close,Adj Close
266,2016-12-16,15.7414879968,136.350006,137.529999,135.630005,135.910004,128.790512
267,2016-12-19,15.1422184536,136.039993,137.190002,135.910004,136.800003,129.633865
268,2016-12-20,15.8441174496,137.279999,138.210007,136.990005,137.960007,130.733109
269,2016-12-21,15.9151675896,137.850006,138.149994,137.009995,137.059998,129.880264
270,2016-12-22,16.21540746,136.559998,136.75,134.809998,135.320007,128.760361
271,2016-12-23,14.684097978,135.460007,136.119995,135.270004,136.039993,129.445404
272,2016-12-27,15.705524664,136.229996,137.300003,136.210007,136.649994,130.025879
273,2016-12-28,15.1645913832,136.889999,136.979996,134.830002,135.25,128.69371
274,2016-12-29,15.73213068,135.289993,136.259995,134.690002,135.369995,128.807877
275,2016-12-30,15.706080144,135.600006,135.630005,134.399994,134.850006,128.31311
276,2017-01-03,14.718811434,136.490005,136.830002,134.5,135.520004,128.950607
277,2017-01-04,15.5457845388,136.050003,137.960007,136.009995,137.779999,131.101089
278,2017-01-05,16.316117496,137.490005,137.759995,135.509995,136.190002,129.58812
279,2017-01-06,15.8778963,136.410004,136.710007,135.679993,135.690002,129.112381
280,2017-01-09,15.9100693584,135.539993,135.720001,134.5,134.800003,128.265549
281,2017-01-10,15.402984894,135.0,136.380005,134.759995,136.089996,129.492996
282,2017-01-11,15.3473328,136.229996,136.789993,135.419998,136.330002,129.721375
283,2017-01-12,15.705524664,136.160004,136.220001,133.589996,135.279999,128.722244
284,2017-01-13,15.1192559232,135.649994,136.970001,135.649994,136.259995,129.654755
285,2017-01-17,14.7367283328,135.600006,135.690002,134.130005,134.410004,127.89444
286,2017-01-18,14.6753419392,134.759995,134.940002,133.949997,134.850006,128.31311
287,2017-01-19,15.9865141044,135.139999,135.440002,133.169998,133.75,127.266464
288,2017-01-20,16.450400106,133.75,134.880005,133.75,134.440002,127.922989
289,2017-01-23,16.0723679004,134.029999,134.679993,133.119995,133.880005,127.390121
290,2017-01-24,14.77304568,134.339996,136.279999,134.220001,135.929993,129.340729
291,2017-01-25,15.33362916,137.059998,137.550003,136.949997,137.210007,130.558731
292,2017-01-26,16.0586041824,137.339996,137.5,136.419998,136.660004,130.035339
293,2017-01-27,14.8145537664,136.770004,137.039993,135.649994,136.190002,129.58812
294,2017-01-30,15.700864896,135.229996,135.240005,133.240005,134.289993,127.780243
295,2017-01-31,15.62822208,133.869995,135.559998,133.479996,135.229996,128.674713
296,2017-02-01,16.1310398496,136.220001,136.869995,134.699997,135.149994,128.598557
297,2017-02-02,14.9788378536,135.300003,135.669998,134.490005,134.809998,128.27504
298,2017-02-03,14.643965874,135.990005,136.979996,135.509995,136.869995,130.235184
299,2017-02-06,16.413228468,136.399994,136.779999,135.429993,135.839996,129.255127
300,2017-02-07,15.75039912,135.820007,136.470001,134.770004,135.240005,128.684174
301,2017-02-08,16.2652478016,135.240005,135.240005,133.889999,135.0,128.455841
302,2017-02-09,15.6855862152,135.0,137.25,135.0,136.899994,130.263718
303,2017-02-10,16.735740084,137.789993,138.369995,137.199997,137.940002,131.253326
304,2017-02-13,15.41743899,138.770004,139.210007,138.089996,138.300003,131.595856
305,2017-02-14,16.3605107712,137.940002,138.949997,137.610001,138.759995,132.033554
306,2017-02-15,15.8483670444,138.190002,139.770004,138.070007,139.589996,132.823334
307,2017-02-16,15.140778102,139.460007,139.839996,138.210007,139.199997,132.452225
308,2017-02-17,16.635031938,138.449997,139.160004,138.25,139.110001,132.366592
309,2017-02-21,16.30641513,139.380005,140.320007,139.380005,140.199997,133.403763
310,2017-02-22,15.186328626,140.0,140.020004,139.25,139.580002,132.813843
311,2017-02-23,15.8963686284,139.960007,140.009995,137.690002,138.75,132.024063
312,2017-02-24,16.02672,137.460007,138.649994,137.300003,138.649994,131.928925
313,2017-02-27,15.050743182,138.339996,140.0,138.210007,140.0,133.213409
314,2017-02-28,15.67315629,139.380005,139.479996,137.759995,137.839996,131.158157
315,2017-03-01,15.72299748,139.649994,140.860001,139.520004,140.360001,133.556
316,2017-03-02,15.4640289672,140.330002,140.360001,138.639999,138.75,132.024063
317,2017-03-03,16.138161936,138.800003,139.419998,137.880005,138.649994,131.928925
318,2017-03-06,15.45580632,137.779999,137.970001,136.990005,137.699997,131.024979
319,2017-03-07,15.2138325024,137.399994,137.740005,136.610001,136.800003,130.168594
320,2017-03-08,15.56085024,137.279999,137.619995,135.779999,135.899994,129.312195
321,2017-03-09,14.712305682,135.830002,136.490005,134.889999,135.360001,128.798386
322,2017-03-10,15.2546289132,136.289993,136.309998,134.839996,135.960007,129.369324
